Pais,Nome_da_Usina,Capacidade_MW,Latitude,Longitude,Tipo_de_Combustivel,Proprietario
Angola,Biopio,22.8,-12.4706,13.7319,Petroleo,
Angola,Biopio (hydro),14.6,-12.4706,13.7319,Hidrica,
Angola,Cambambe,180.0,-9.7523,14.4809,Hidrica,
Angola,Capanda,520.0,-9.7955,15.4672,Hidrica,
Angola,Cazenga,132.0,-8.8383,13.2344,Gas Natural,
Angola,Huambo,16.26,-12.76,15.75,Petroleo,
Angola,Lobito,20.0,-12.37,13.57,Gas Natural,
Angola,Luanda Diesel,58.0,-8.8383,13.2344,Petroleo,
Angola,Luanda Refinery,18.5,-8.8383,13.2344,Petroleo,
Angola,Malongo,10.0,-5.55,12.2,Petroleo,
Angola,Matala,40.0,-14.7333,15.0333,Hidrica,
Angola,Namibe,11.68,-15.1961,12.1522,Gas Natural,
Angola,Rio Luachimo,16.0,-7.3,20.85,Hidrica,
Angola,Xitoto,11.34,-15.3333,15.0,Petroleo,
Antarctica,McMurdo Station Generator,6.6,-77.847,166.6605,Petroleo,
Antarctica,Ross Island,1.0,-77.8428,166.7271,Eolica,Meridian Energy
Argentina,AGUA DEL CAJON (AUTOGENERADOR DEL MEM),479.2,-38.9368,-68.3556,Other,CAPEX SA
Argentina,AGUA DEL CAJON (GENERADOR DEL MEM),192.0,-38.9368,-68.3556,Gas Natural,CAPEX SA
Argentina,AGUA DEL TORO,130.0,-34.5792,-68.9892,Hidrica,HIDISA
Argentina,ALICURA,1050.0,-40.58,-70.7489,Hidrica,AES ARGENTINA GENERACION S.A.
Argentina,ALMIRANTE BROWN,25.0,-34.8386,-58.4033,Petroleo,C.T. ALMIRANTE BROWN SA
Argentina,ALTO VALLE,97.5,-38.9524,-68.0218,Gas Natural,CT ALTO VALLE SA
Argentina,ALUMINE,1.904,-39.2145,-70.9157,Petroleo,EPEN
Argentina,ALVAREZ CONDARCO,50.7,-33.0452,-69.0516,Hidrica,CEMPPSA - HIDROCUYO SA
